City,Cuisine,Name,Star,Comments,PCC,Taste,Envir,Service
东莞,东南亚菜,泰芙喱-泰国精选美食(壹号广场店...,中等,1,44.5-96.5,7.8,7.7,8.1
东莞,东南亚菜,甲米府泰国餐厅(石龙总店)分店,中等,1,44.5-96.5,7.7,7.9,7.6
东莞,韩国料理,金家木炭烤肉,中等,1,44.5-96.5,7.5,7.4,7.5
东莞,韩国料理,姜虎东白丁烤肉店(东城万达广场...,中等,1,96.5-208,7.7,7.8,7.3
东莞,韩国料理,Karl先生,中等,1,44.5以下,7.8,8.3,8.1
东莞,韩国料理,松林阁炭火烤肉,中等,1,44.5-96.5,7.9,7.6,7.7
东莞,韩国料理,泰一格年糕火锅(东城万达广场店),中等,1,44.5-96.5,7.6,8.2,8.1
东莞,粤菜,大岗仙庙烧鸡,中等,1,44.5以下,7.6,7.1,7.5
东莞,粤菜,馋胖肉蟹煲,中等,1,44.5-96.5,8.1,8,8.3
东莞,粤菜,横沥牛庄(南城店)分店,中等,1,96.5-208,8,8.1,7.5
东莞,粤菜,和为贵,中等,1,44.5-96.5,8,7.9,7.9
东莞,粤菜,粤姐开饭(南城店)分店,中等,1,44.5-96.5,7.8,7.9,7.5
东莞,粤菜,如轩砂锅粥(东城店)分店,中等,1,44.5-96.5,8.1,7.6,7.2
东莞,粤菜,东馆和天下特色餐饮,中等,1,44.5-96.5,7.8,7.6,7.4
东莞,粤菜,蚬皇·陈菜馆,中等,1,44.5-96.5,7.9,8.3,7.7
东莞,粤菜,金品福客家菜(东莞店),高等,1,44.5-96.5,8.2,8.2,8.4
东莞,粤菜,粤姐开饭(华南MALL店)分店,中等,1,44.5以下,8.1,8.3,7.8
东莞,粤菜,莞香楼(万江店)分店,中等,1,44.5-96.5,7.8,7.9,7.5
东莞,粤菜,大盆果木炭烧鸡(南城店),中等,1,44.5以下,8.1,8.2,8.1
东莞,粤菜,老莞城饭店,中等,1,44.5-96.5,7.9,7.4,7.4
东莞,粤菜,大屏嶂服务中心特色农家莱,中等,1,44.5-96.5,7.7,7.4,7.3
东莞,粤菜,仙庙烧鸡(石井店),中等,1,44.5以下,7.7,7.1,7.1
东莞,粤菜,多罗满海南岛椰子鸡(南城店),中等,1,44.5-96.5,8.1,8.1,8
东莞,粤菜,常胜海鲜城(袁山贝店)分店,中等,1,96.5-208,7.7,7.6,7.5
东莞,粤菜,九连山食府,中等,1,44.5-96.5,7.7,7.4,7.7
东莞,东北菜,小幸福水煮鱼(朗晴居店),中等,1,44.5-96.5,7.8,7.3,7.5
东莞,东北菜,杨铭宇黄焖鸡米饭(第一国际店),中等,1,44.5以下,7.9,7.8,7.9
东莞,小吃快餐,大家乐(新风路店)分店,中等,1,44.5以下,7.9,8,7.9
东莞,小吃快餐,汉堡王(东莞彩怡百货店)分店,中等,1,44.5以下,7.8,8.1,7.7
东莞,小吃快餐,一根筋桂林米粉(万科广场长安店),中等,1,44.5以下,7.9,7.8,7.7
东莞,小吃快餐,勇伯米粉汤,中等,1,44.5以下,7.7,7.2,7.4
东莞,小吃快餐,壹號茶餐厅,中等,1,44.5以下,8.1,8.5,8
东莞,小吃快餐,潮庭港式茶餐厅(东莞凯德广场店),中等,2,44.5以下,8.1,8.3,8.1
东莞,小吃快餐,新意小馆(星河城店),中等,1,44.5-96.5,7.5,8.1,7.9
东莞,小吃快餐,汉堡王(东莞汇一城店)分店,中等,1,44.5以下,7.8,7.8,7.6
东莞,小吃快餐,杨国福麻辣烫(华南MALL店),中等,1,44.5以下,7.6,7.6,7.6
东莞,小吃快餐,铭记煲仔饭(石井店),中等,1,44.5以下,7.9,7.8,7.6
东莞,小吃快餐,麦当劳(桥光大道店)分店,中等,1,44.5以下,7.8,7.8,7.6
东莞,小吃快餐,冒菜老号(凯德广场东莞店),中等,1,44.5-96.5,7.7,8,7.9
东莞,小吃快餐,麦当劳(常平海霞得来速店)分店,中等,1,44.5以下,7.7,7.7,7.6
东莞,小吃快餐,常平竹升面,中等,1,44.5以下,7.9,7.5,7.5
东莞,小吃快餐,莞城蛋记,中等,1,44.5以下,7.7,7.8,7.8
东莞,西餐,鲜焗bakedfresh(壹号广场店),中等,1,44.5-96.5,8,9,8.3
东莞,西餐,王品牛排(东莞星河城店),高等,1,208以上,8.8,8.8,9.1
东莞,西餐,欐莎餐厅Lesalle(汇一城店),中等,1,44.5-96.5,7.9,8.8,8
东莞,西餐,咖简城厨（kitchen plus）(第一...,中等,1,44.5-96.5,7.9,8.8,8.2
东莞,西餐,LAYA BURGER 拉亚汉堡经典餐厅,中等,1,44.5-96.5,8.1,8.6,8.1
东莞,西餐,遇见桃花源音乐餐吧(十三碗店),中等,1,44.5-96.5,7.7,8.4,8.1
东莞,西餐,圣高餐吧(南城店)分店,中等,2,44.5-96.5,7.8,8.7,8
东莞,西餐,N Deli安德丽餐吧,中等,1,96.5-208,7.9,8.6,7.7
东莞,西餐,BRUNO,中等,1,44.5-96.5,8.1,8.4,8.4
东莞,西餐,蚝爸吧生蚝西餐厅,中等,1,44.5-96.5,8,8,8
东莞,西餐,卢克龙虾海鲜包(南城第一国际店),中等,1,44.5-96.5,7.8,8,7.9
东莞,西餐,ROHS璐斯音乐餐吧(鸿福店),中等,1,96.5-208,7.5,8.3,7.6
东莞,台湾菜,一茶一坐(东莞星河城店),中等,1,44.5-96.5,7.7,8.1,7.6
东莞,西餐,圣高餐吧(汇峰店)分店,中等,2,44.5-96.5,7.6,8.1,8
东莞,西餐,清花醉月,中等,1,96.5-208,7.6,8.3,7.8
东莞,西餐,Pizza Nonna祖母比萨(汇一城店)分店,高等,1,44.5-96.5,8.5,8.6,8.5
东莞,西餐,果木世家,中等,1,96.5-208,7.9,7.8,7.9
东莞,西餐,圣芙乐法式餐厅,中等,1,44.5-96.5,7.7,7.8,7.6
东莞,西餐,罗勒园香草厨房,中等,1,44.5-96.5,7.7,7.8,8
东莞,西餐,艾薯(汇一城店),中等,1,44.5-96.5,7.8,7.7,7.8
东莞,西餐,朗遇牛排(常平店)分店,中等,1,44.5-96.5,7.8,7.9,7.8
东莞,西餐,伯顿西餐厅(茶山彩虹路店)分店,中等,1,44.5-96.5,7.6,7.9,7.8
东莞,西餐,SALAD BAR沙拉吧(石龙店),中等,1,44.5以下,7.8,7.7,7.7
东莞,西餐,圣城(虎门店),中等,1,44.5-96.5,7.9,7.8,7.8
东莞,西餐,豪客来牛排(凯德广场东莞店),中等,1,44.5-96.5,7.9,7.9,7.9
东莞,西餐,达威多火炉手工披萨DAVYDOVA(东...,中等,1,44.5-96.5,8,8.4,8.4
东莞,西餐,玛莉丝中西餐,中等,1,44.5以下,8,8,8
东莞,西餐,尊宝比萨(鸿福广场店)分店,中等,1,44.5以下,7.9,7.8,7.8
东莞,西餐,西牛屋(东泰嘉荣店)分店,中等,1,44.5-96.5,7.6,7.8,7.6
东莞,西餐,观澜湖会所(千树里餐厅),中等,1,96.5-208,7.5,7.6,7.6
东莞,西餐,西多里手工披萨(华南MALL店),中等,1,44.5以下,7.6,7.9,7.9
东莞,西餐,尊宝比萨(0769家园店)分店,中等,1,44.5以下,7.9,7.6,7.6
东莞,西餐,PizzaNonna祖母比萨(星河城店)分店,高等,1,44.5-96.5,8.3,8.5,8.4
东莞,西餐,尊宝比萨(新世界花园店),中等,1,44.5以下,7.7,7.6,7.6
东莞,西餐,尊宝比萨(东骏路店)分店,中等,1,44.5以下,7.9,7.7,7.7
东莞,西餐,尊宝比萨(国泰店)分店,中等,1,44.5以下,7.8,7.6,7.7
东莞,西餐,私享汇(东城樟村店),中等,1,44.5-96.5,8.1,8.2,8.1
东莞,西餐,华莱士炸鸡汉堡(樟木头樟洋店),中等,1,44.5以下,7.7,7.6,7.6
东莞,西餐,世家牛排(南城店),中等,1,44.5-96.5,7.6,7.1,7.8
东莞,西餐,巴比克牛排馆(海雅百货南城店),中等,1,44.5以下,7.7,7.5,8
东莞,西餐,PizzaNonna祖母比萨(厚街万达店)分店,中等,1,44.5以下,7.9,7.9,7.9
东莞,西餐,PizzaNonna祖母比萨(凯德广场东...,中等,1,44.5以下,7.5,8,7.9
东莞,面包甜点,台北疯豆(雍华庭店)分店,中等,1,44.5以下,8.1,8.1,8
东莞,面包甜点,京馔烘培手工吐司(沃尔玛店),中等,1,44.5以下,8.3,7.9,8.2
东莞,面包甜点,狠角色(台湾冰品，饮品，美食),中等,1,44.5以下,7.8,7.9,7.8
东莞,面包甜点,京馔烘焙手工土司(信义店),高等,1,44.5以下,8.5,8.3,8.3
东莞,面包甜点,瑞可爷爷(汇一城店),中等,1,44.5以下,8.2,8.2,8.4
东莞,面包甜点,茶觉,中等,1,44.5以下,7.5,8.2,7.6
东莞,面包甜点,台北疯豆(万科城市广场店),中等,1,44.5以下,7.9,8.2,7.8
东莞,面包甜点,京馔烘焙手工吐司(长盛店),中等,1,44.5以下,8.1,8,8.2
东莞,面包甜点,Cake Only专爱·法式蛋糕(南城总...,中等,1,96.5-208,8.2,8.4,8.6
东莞,面包甜点,芝心芝语蛋糕店分店,中等,1,44.5以下,8.3,8.2,8.3
东莞,面包甜点,喜茶(长安店)分店,中等,1,44.5以下,8.2,7.7,8
东莞,面包甜点,呢间冰室,中等,1,44.5以下,7.8,7.6,7.7
东莞,面包甜点,台盖(海德广场店),中等,1,44.5以下,7.5,7.7,7.5
东莞,面包甜点,下雪的村庄(东城万达店),中等,1,44.5以下,8.1,8.2,8.2
东莞,面包甜点,我是酸奶君,中等,1,44.5以下,8.2,8.2,8.2
东莞,面包甜点,green salad绿意沙拉(旗峰花园店...,中等,1,44.5-96.5,7.4,7.8,8.1
东莞,面包甜点,幸福西饼生日蛋糕(东莞店)分店,中等,1,96.5-208,8.1,8.2,8.6
东莞,面包甜点,左伦蛋糕全城免费配送(寮步总店)分店,中等,1,44.5以下,8.3,8.2,8.4
东莞,面包甜点,blancc,中等,1,44.5-96.5,7.7,7.9,7.8
东莞,面包甜点,喜栈(南城时代城店)分店,中等,2,44.5以下,7.8,8,7.8
东莞,面包甜点,芝心芝语(中熙弥珍店)分店,中等,1,44.5-96.5,7.8,7.7,7.9
东莞,面包甜点,甜蔻,中等,1,44.5以下,7.8,7.8,7.8
东莞,面包甜点,京馔烘焙手工吐司(景湖时代城店)分店,中等,1,44.5以下,8.2,7.8,7.9
东莞,面包甜点,广隆蛋挞王(南城中央广场店)分店,中等,1,44.5以下,8.3,8.3,8.1
东莞,面包甜点,京馔烘焙手工吐司(雍华庭店)分店,中等,1,44.5以下,8,7.9,7.7
东莞,面包甜点,A-OK果色(东城店)分店,中等,1,44.5以下,7.8,7.9,7.9
东莞,面包甜点,京饌手工烘焙手工吐司(虎门店),中等,1,44.5以下,8,8,8
东莞,面包甜点,8oz幸福烘焙,中等,1,44.5以下,7.8,7.8,7.8
东莞,面包甜点,广隆蛋挞王(港口路店)分店,中等,1,44.5以下,8.2,8.2,8.2
东莞,面包甜点,喜栈(松山湖店)分店,中等,1,44.5以下,7.7,7.9,7.9
东莞,面包甜点,北极企鹅(花园店)分店,中等,1,44.5以下,7.9,7.9,7.8
东莞,面包甜点,广隆蛋挞王(向阳店)分店,中等,2,44.5以下,8,7.6,7.8
东莞,面包甜点,紫来轩(向阳店)分店,中等,1,44.5以下,7.7,7.7,7.7
东莞,面包甜点,广隆蛋挞王(东泰花园店)分店,中等,1,44.5以下,8,8,8
东莞,面包甜点,广隆蛋挞王(太沙店)分店,中等,1,44.5以下,8.2,8.2,8.1
东莞,面包甜点,广隆蛋挞王(沙田中心店),中等,1,44.5以下,7.7,7.7,7.7
东莞,面包甜点,贡茶(莱蒙商业中心店),中等,1,44.5以下,7.8,7.7,7.7
东莞,面包甜点,喜栈(地王店)分店,中等,1,44.5以下,8,8.2,8.1
东莞,面包甜点,舞茶道(新芬路店)分店,中等,1,44.5以下,8,8,8.1
东莞,面包甜点,广隆蛋挞王(厚街虹桥店)分店,中等,1,44.5以下,7.8,7.8,7.8
东莞,咖啡厅,冲啡CongCafe(东城万达广场店),中等,1,44.5以下,8.1,8,8.1
东莞,咖啡厅,森绿SunshineCoffeeCake,中等,1,44.5-96.5,8,8,7.6
东莞,咖啡厅,Cafe Lumaca麓蔓咖啡馆,中等,1,44.5-96.5,7.7,7.7,7.2
东莞,咖啡厅,七月咖啡(白马店),中等,1,44.5-96.5,7.4,7.7,7.6
东莞,咖啡厅,叮叮码头(莱蒙商业中心店),中等,1,44.5-96.5,8.2,8.5,8.3
东莞,咖啡厅,HALOCOFFEE,中等,1,44.5以下,7.6,7.8,7.3
